primary_vote_2016,dem_primary_vote_2016,rep_primary_vote_2016,state,pres_vote_2016,birth_year,income_group,pres_vote_2012,age,income
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1964,"$150,000 or more",Barack Obama,52,150000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1947,"$60,000 - $69,999",Barack Obama,69,60000
"No, not in either",NA,NA,California,Hillary Clinton,1951,"$50,000 - $59,999",Other candidate,65,50000
In the Democratic primary,Bernie Sanders,NA,Minnesota,Hillary Clinton,1940,"$30,000 - $39,999",Barack Obama,76,30000
In the Republican primary,NA,John Kasich,Alabama,Donald Trump,1949,"$40,000 - $49,999",Mitt Romney,67,40000
In the Democratic primary,Hillary Clinton,NA,Montana,Hillary Clinton,1946,Prefer not to say,Barack Obama,70,NA
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1964,"$70,000 - $79,999",Barack Obama,52,70000
In the Republican primary,NA,Donald Trump,Illinois,Donald Trump,1953,"$80,000 - $99,999",Mitt Romney,63,80000
"No, not in either",NA,NA,Minnesota,Donald Trump,1963,"$40,000 - $49,999",Mitt Romney,53,40000
In the Republican primary,NA,Ted Cruz,Oregon,Donald Trump,1966,"$20,000 - $29,999",Mitt Romney,50,20000
In the Republican primary,NA,Marco Rubio,West Virginia,Donald Trump,1948,"$150,000 or more",Mitt Romney,68,150000
In the Democratic primary,Bernie Sanders,NA,West Virginia,Hillary Clinton,1948,"$40,000 - $49,999",Barack Obama,68,40000
In the Democratic primary,Hillary Clinton,NA,Wisconsin,Hillary Clinton,1983,"$100,000 - $119,999",Barack Obama,33,100000
In the Democratic primary,Bernie Sanders,NA,South Dakota,Hillary Clinton,1968,"$80,000 - $99,999",Barack Obama,48,80000
In the Democratic primary,Hillary Clinton,NA,Virginia,Hillary Clinton,1960,"$30,000 - $39,999",Barack Obama,56,30000
In the Democratic primary,Hillary Clinton,NA,Illinois,Hillary Clinton,1959,"$120,000 - $149,999",Barack Obama,57,120000
In the Republican primary,NA,Ted Cruz,Texas,Donald Trump,1963,"$100,000 - $119,999",Mitt Romney,53,100000
In the Republican primary,NA,Ted Cruz,Arizona,Donald Trump,1953,"$80,000 - $99,999",Mitt Romney,63,80000
"No, not in either",NA,NA,West Virginia,Jill Stein,1958,Prefer not to say,Barack Obama,58,NA
In the Republican primary,NA,Donald Trump,California,Donald Trump,1951,"$50,000 - $59,999",Mitt Romney,65,50000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1945,"$70,000 - $79,999",Barack Obama,71,70000
"No, not in either",NA,NA,Rhode Island,Hillary Clinton,1945,"$100,000 - $119,999",Barack Obama,71,100000
In the Republican primary,NA,John Kasich,New York,Hillary Clinton,1942,"$100,000 - $119,999",Barack Obama,74,100000
In the Republican primary,NA,Someone else,Georgia,Donald Trump,1948,"$10,000 - $19,999",Mitt Romney,68,10000
"No, not in either",NA,NA,New Jersey,Donald Trump,1947,"$150,000 or more",Barack Obama,69,150000
In the Republican primary,NA,Ted Cruz,California,Donald Trump,1940,"$50,000 - $59,999",Mitt Romney,76,50000
In the Democratic primary,Hillary Clinton,NA,Michigan,Hillary Clinton,1948,"$20,000 - $29,999",Barack Obama,68,20000
"No, not in either",NA,NA,New York,Hillary Clinton,1968,"$100,000 - $119,999",Barack Obama,48,100000
In the Republican primary,NA,Ted Cruz,Texas,Donald Trump,1950,Prefer not to say,Mitt Romney,66,NA
"No, not in either",NA,NA,Colorado,Donald Trump,1942,"$40,000 - $49,999",Mitt Romney,74,40000
In the Democratic primary,Bernie Sanders,NA,Georgia,Hillary Clinton,1948,"$20,000 - $29,999",Barack Obama,68,20000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1982,"$80,000 - $99,999",Barack Obama,34,80000
In the Republican primary,NA,Ted Cruz,Georgia,Gary Johnson,1968,"$30,000 - $39,999",Other candidate,48,30000
"No, not in either",NA,NA,Missouri,Donald Trump,1958,"$80,000 - $99,999",Mitt Romney,58,80000
In the Republican primary,NA,Donald Trump,Maryland,Donald Trump,1954,Prefer not to say,Mitt Romney,62,NA
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1931,"$10,000 - $19,999",Mitt Romney,85,10000
In the Democratic primary,Hillary Clinton,NA,Oregon,Hillary Clinton,1954,"$30,000 - $39,999",Barack Obama,62,30000
"No, not in either",NA,NA,Texas,NA,1957,"$120,000 - $149,999",Other candidate,59,120000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1943,Prefer not to say,Mitt Romney,73,NA
In the Democratic primary,Hillary Clinton,NA,Virginia,Hillary Clinton,1948,"$60,000 - $69,999",Barack Obama,68,60000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1940,"$40,000 - $49,999",Barack Obama,76,40000
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1931,"$20,000 - $29,999",Mitt Romney,85,20000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1975,"$50,000 - $59,999",Mitt Romney,41,50000
"No, not in either",NA,NA,Washington,Donald Trump,1965,"$30,000 - $39,999",Other candidate,51,30000
"No, not in either",NA,NA,Florida,Donald Trump,1983,"$150,000 or more",Mitt Romney,33,150000
In the Democratic primary,Bernie Sanders,NA,New Jersey,Hillary Clinton,1972,"$100,000 - $119,999",Barack Obama,44,100000
In the Republican primary,NA,Ted Cruz,Idaho,Donald Trump,1954,"$60,000 - $69,999",Mitt Romney,62,60000
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1961,"$150,000 or more",Barack Obama,55,150000
In the Democratic primary,Hillary Clinton,NA,Indiana,Hillary Clinton,1953,Prefer not to say,Barack Obama,63,NA
"No, not in either",NA,NA,Kentucky,Donald Trump,1945,"$50,000 - $59,999",Mitt Romney,71,50000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Hillary Clinton,1976,"$20,000 - $29,999",Barack Obama,40,20000
In the Republican primary,NA,John Kasich,Ohio,Donald Trump,1964,"$50,000 - $59,999",Mitt Romney,52,50000
In the Republican primary,NA,Donald Trump,Georgia,Donald Trump,1954,"$70,000 - $79,999",Mitt Romney,62,70000
"No, not in either",NA,NA,North Carolina,Donald Trump,1966,"$150,000 or more",Mitt Romney,50,150000
In the Democratic primary,Hillary Clinton,NA,Missouri,Hillary Clinton,1957,"$60,000 - $69,999",Barack Obama,59,60000
In the Republican primary,NA,Ted Cruz,Tennessee,Donald Trump,1942,"$60,000 - $69,999",Mitt Romney,74,60000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1950,"$150,000 or more",Barack Obama,66,150000
In the Republican primary,NA,Someone else,Missouri,Donald Trump,1957,"Less than $10,000",Barack Obama,59,0
In the Republican primary,NA,Donald Trump,Tennessee,Donald Trump,1932,"$40,000 - $49,999",Mitt Romney,84,40000
"No, not in either",NA,NA,Texas,NA,1956,Prefer not to say,Barack Obama,60,NA
In the Republican primary,NA,Donald Trump,Illinois,Donald Trump,1972,"$20,000 - $29,999",Mitt Romney,44,20000
"No, not in either",NA,NA,New York,Hillary Clinton,1965,"$120,000 - $149,999",Barack Obama,51,120000
In the Republican primary,NA,Ted Cruz,Arizona,Donald Trump,1950,"$50,000 - $59,999",Mitt Romney,66,50000
In the Republican primary,NA,Ted Cruz,Iowa,Donald Trump,1960,"$10,000 - $19,999",Mitt Romney,56,10000
In the Democratic primary,Hillary Clinton,NA,Georgia,Hillary Clinton,1956,"$150,000 or more",Barack Obama,60,150000
"No, not in either",NA,NA,New Mexico,Donald Trump,1973,"$80,000 - $99,999",Mitt Romney,43,80000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1946,"$100,000 - $119,999",Barack Obama,70,100000
In the Republican primary,NA,Ted Cruz,Virginia,Donald Trump,1970,Prefer not to say,Mitt Romney,46,NA
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1937,"$50,000 - $59,999",NA,79,50000
In the Democratic primary,Bernie Sanders,NA,Massachusetts,Hillary Clinton,1969,Prefer not to say,Barack Obama,47,NA
In the Republican primary,NA,John Kasich,Massachusetts,Hillary Clinton,1963,"$80,000 - $99,999",Barack Obama,53,80000
In the Republican primary,NA,Ted Cruz,Pennsylvania,Donald Trump,1963,"$100,000 - $119,999",Mitt Romney,53,100000
"No, not in either",NA,NA,Wisconsin,Gary Johnson,1970,"$40,000 - $49,999",Other candidate,46,40000
In the Democratic primary,Bernie Sanders,NA,New York,Jill Stein,1942,"$20,000 - $29,999",Other candidate,74,20000
In the Democratic primary,Hillary Clinton,NA,Massachusetts,Hillary Clinton,1954,"$70,000 - $79,999",Barack Obama,62,70000
In the Democratic primary,Bernie Sanders,NA,New York,Hillary Clinton,1990,"$120,000 - $149,999",Barack Obama,26,120000
In the Democratic primary,Hillary Clinton,NA,Virginia,Hillary Clinton,1977,"$80,000 - $99,999",Barack Obama,39,80000
In the Republican primary,NA,John Kasich,Virginia,Hillary Clinton,1957,"$150,000 or more",Barack Obama,59,150000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1972,"$80,000 - $99,999",Barack Obama,44,80000
In the Republican primary,NA,Ted Cruz,Tennessee,Donald Trump,1945,"$100,000 - $119,999",Mitt Romney,71,100000
"No, not in either",NA,NA,Kansas,Other,1948,"$40,000 - $49,999",Mitt Romney,68,40000
In the Democratic primary,Hillary Clinton,NA,District of Columbia,Hillary Clinton,1943,"$30,000 - $39,999",Barack Obama,73,30000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1955,"$70,000 - $79,999",Mitt Romney,61,70000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1947,"$60,000 - $69,999",Mitt Romney,69,60000
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1946,"$80,000 - $99,999",Mitt Romney,70,80000
In the Republican primary,NA,Donald Trump,Texas,Donald Trump,1944,"$40,000 - $49,999",Mitt Romney,72,40000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1954,Prefer not to say,Barack Obama,62,NA
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1955,"Less than $10,000",Barack Obama,61,0
In the Democratic primary,Hillary Clinton,NA,Georgia,Hillary Clinton,1964,"$10,000 - $19,999",Barack Obama,52,10000
In the Democratic primary,Hillary Clinton,NA,Georgia,Hillary Clinton,1954,"$10,000 - $19,999",Barack Obama,62,10000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Hillary Clinton,1955,"$150,000 or more",Barack Obama,61,150000
"No, not in either",NA,NA,Kansas,Gary Johnson,1979,"$20,000 - $29,999",I did not vote in this race,37,20000
In the Democratic primary,Hillary Clinton,NA,Pennsylvania,Hillary Clinton,1957,"$60,000 - $69,999",Barack Obama,59,60000
In the Republican primary,NA,Ted Cruz,Missouri,Hillary Clinton,1940,"$30,000 - $39,999",Barack Obama,76,30000
"No, not in either",NA,NA,Texas,Hillary Clinton,1972,"$120,000 - $149,999",Barack Obama,44,120000
In the Democratic primary,Hillary Clinton,NA,Illinois,Hillary Clinton,1942,"$100,000 - $119,999",Barack Obama,74,100000
In the Republican primary,NA,Someone else,Texas,Donald Trump,1960,"$150,000 or more",Mitt Romney,56,150000
In the Republican primary,NA,John Kasich,Kentucky,Donald Trump,1991,Prefer not to say,Mitt Romney,25,NA
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1954,Prefer not to say,Barack Obama,62,NA
"Not sure, don't recall",NA,NA,Missouri,Hillary Clinton,1957,"$40,000 - $49,999",Barack Obama,59,40000
In the Republican primary,NA,Donald Trump,Illinois,Donald Trump,1940,Prefer not to say,Mitt Romney,76,NA
In the Democratic primary,Bernie Sanders,NA,Missouri,Hillary Clinton,1964,"$50,000 - $59,999",Barack Obama,52,50000
In the Democratic primary,Hillary Clinton,NA,Colorado,Hillary Clinton,1956,"$150,000 or more",Barack Obama,60,150000
"No, not in either",NA,NA,Kansas,Donald Trump,1940,"$80,000 - $99,999",Mitt Romney,76,80000
In the Democratic primary,Hillary Clinton,NA,Illinois,Hillary Clinton,1953,"$120,000 - $149,999",Barack Obama,63,120000
In the Democratic primary,Bernie Sanders,NA,Missouri,Donald Trump,1955,Prefer not to say,Mitt Romney,61,NA
In the Republican primary,NA,Marco Rubio,Virginia,Gary Johnson,1969,"$80,000 - $99,999",Other candidate,47,80000
In the Democratic primary,Bernie Sanders,NA,Indiana,Hillary Clinton,1943,"$60,000 - $69,999",Barack Obama,73,60000
In the Democratic primary,Bernie Sanders,NA,Florida,Hillary Clinton,1942,"$100,000 - $119,999",Barack Obama,74,100000
In the Democratic primary,Hillary Clinton,NA,Texas,Hillary Clinton,1968,"$40,000 - $49,999",Barack Obama,48,40000
"No, not in either",NA,NA,Iowa,NA,1966,"$50,000 - $59,999",Mitt Romney,50,50000
In the Democratic primary,Hillary Clinton,NA,Texas,Hillary Clinton,1938,"$40,000 - $49,999",Barack Obama,78,40000
In the Democratic primary,Hillary Clinton,NA,Indiana,Hillary Clinton,1949,Prefer not to say,Barack Obama,67,NA
"No, not in either",NA,NA,Virginia,Hillary Clinton,1988,"$150,000 or more",Barack Obama,28,150000
In the Democratic primary,Bernie Sanders,NA,Illinois,Hillary Clinton,1936,"$60,000 - $69,999",Barack Obama,80,60000
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1954,"$20,000 - $29,999",Barack Obama,62,20000
In the Republican primary,NA,Donald Trump,North Carolina,Donald Trump,1948,"$50,000 - $59,999",Mitt Romney,68,50000
"Not sure, don't recall",NA,NA,Florida,Hillary Clinton,1943,"$50,000 - $59,999",Barack Obama,73,50000
"No, not in either",NA,NA,Wyoming,Hillary Clinton,1973,"$30,000 - $39,999",Barack Obama,43,30000
In the Democratic primary,Hillary Clinton,NA,Alabama,Hillary Clinton,1941,"$150,000 or more",Barack Obama,75,150000
In the Republican primary,NA,Marco Rubio,Virginia,Gary Johnson,1955,"$100,000 - $119,999",Mitt Romney,61,100000
"No, not in either",NA,NA,Maryland,Other,1967,"$150,000 or more",Mitt Romney,49,150000
In the Democratic primary,Hillary Clinton,NA,Maryland,Hillary Clinton,1963,"$50,000 - $59,999",Barack Obama,53,50000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Hillary Clinton,1942,"$30,000 - $39,999",Barack Obama,74,30000
"No, not in either",NA,NA,Oklahoma,NA,1956,"$60,000 - $69,999",Mitt Romney,60,60000
In the Republican primary,NA,John Kasich,Wyoming,Gary Johnson,1940,"$150,000 or more",Other candidate,76,150000
"No, not in either",NA,NA,Connecticut,Jill Stein,1977,"$60,000 - $69,999",Not sure,39,60000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1948,"$60,000 - $69,999",Barack Obama,68,60000
In the Republican primary,NA,John Kasich,New York,Donald Trump,1953,"$20,000 - $29,999",Mitt Romney,63,20000
In the Republican primary,NA,Ted Cruz,Rhode Island,Donald Trump,1964,"$70,000 - $79,999",Mitt Romney,52,70000
In the Democratic primary,Hillary Clinton,NA,Washington,Hillary Clinton,1948,"$40,000 - $49,999",Barack Obama,68,40000
In the Democratic primary,Hillary Clinton,NA,Tennessee,Hillary Clinton,1953,"$40,000 - $49,999",Mitt Romney,63,40000
"No, not in either",NA,NA,Nevada,Hillary Clinton,1940,"$60,000 - $69,999",NA,76,60000
In the Republican primary,NA,John Kasich,Ohio,Gary Johnson,1965,"$40,000 - $49,999",Barack Obama,51,40000
In the Democratic primary,Hillary Clinton,NA,West Virginia,Hillary Clinton,1938,"$30,000 - $39,999",Mitt Romney,78,30000
In the Democratic primary,Bernie Sanders,NA,West Virginia,Donald Trump,1964,"$70,000 - $79,999",NA,52,70000
In the Republican primary,NA,John Kasich,Idaho,Evan McMullin,1965,"$30,000 - $39,999",Mitt Romney,51,30000
In the Republican primary,NA,Donald Trump,South Dakota,Donald Trump,1930,Prefer not to say,Mitt Romney,86,NA
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1963,"$70,000 - $79,999",Mitt Romney,53,70000
In the Democratic primary,Someone else,NA,Maryland,Donald Trump,1955,"$70,000 - $79,999",Barack Obama,61,70000
In the Democratic primary,Hillary Clinton,NA,Pennsylvania,Donald Trump,1942,"$20,000 - $29,999",Barack Obama,74,20000
In the Republican primary,NA,Ted Cruz,Missouri,Donald Trump,1944,"$50,000 - $59,999",Mitt Romney,72,50000
In the Democratic primary,Bernie Sanders,NA,Idaho,Jill Stein,1970,"$30,000 - $39,999",Barack Obama,46,30000
In the Republican primary,NA,Donald Trump,West Virginia,NA,1955,"$50,000 - $59,999",Mitt Romney,61,50000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1953,"$80,000 - $99,999",Barack Obama,63,80000
In the Democratic primary,Bernie Sanders,NA,West Virginia,Hillary Clinton,1974,"$30,000 - $39,999",Barack Obama,42,30000
In the Republican primary,NA,John Kasich,Kansas,Donald Trump,1953,"$80,000 - $99,999",Mitt Romney,63,80000
In the Republican primary,NA,John Kasich,Kentucky,Donald Trump,1957,"$60,000 - $69,999",Mitt Romney,59,60000
"No, not in either",NA,NA,Utah,Gary Johnson,1971,"Less than $10,000",NA,45,0
In the Republican primary,NA,Ted Cruz,Texas,Hillary Clinton,1957,"$100,000 - $119,999",Barack Obama,59,100000
In the Republican primary,NA,Marco Rubio,South Carolina,Donald Trump,1958,"$60,000 - $69,999",Mitt Romney,58,60000
"No, not in either",NA,NA,Iowa,Hillary Clinton,1974,"Less than $10,000",Mitt Romney,42,0
In the Republican primary,NA,Donald Trump,Indiana,Donald Trump,1950,"$40,000 - $49,999",Mitt Romney,66,40000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Donald Trump,1950,"$60,000 - $69,999",Mitt Romney,66,60000
In the Democratic primary,Bernie Sanders,NA,North Carolina,Hillary Clinton,1952,"$40,000 - $49,999",Barack Obama,64,40000
In the Democratic primary,Hillary Clinton,NA,Minnesota,Hillary Clinton,1956,"$30,000 - $39,999",Barack Obama,60,30000
"No, not in either",NA,NA,Texas,NA,1984,NA,Mitt Romney,32,NA
"No, not in either",NA,NA,Idaho,Hillary Clinton,1949,"$20,000 - $29,999",Barack Obama,67,20000
"No, not in either",NA,NA,Idaho,Hillary Clinton,1962,"$150,000 or more",Barack Obama,54,150000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1981,"Less than $10,000",Barack Obama,35,0
In the Democratic primary,Hillary Clinton,NA,Maryland,Hillary Clinton,1958,"$150,000 or more",Barack Obama,58,150000
"No, not in either",NA,NA,South Dakota,Donald Trump,1943,"$30,000 - $39,999",Mitt Romney,73,30000
"No, not in either",NA,NA,Oklahoma,Gary Johnson,1967,"$20,000 - $29,999",NA,49,20000
"Not sure, don't recall",NA,NA,Idaho,NA,1945,"$20,000 - $29,999",Mitt Romney,71,20000
In the Republican primary,NA,Donald Trump,Georgia,Donald Trump,1957,"$30,000 - $39,999",Mitt Romney,59,30000
In the Republican primary,NA,Donald Trump,Pennsylvania,Donald Trump,1965,"$30,000 - $39,999",Mitt Romney,51,30000
"No, not in either",NA,NA,California,Hillary Clinton,1958,"$70,000 - $79,999",Other candidate,58,70000
In the Republican primary,NA,Marco Rubio,Florida,Donald Trump,1949,Prefer not to say,Mitt Romney,67,NA
"No, not in either",NA,NA,New Mexico,Hillary Clinton,1943,"$40,000 - $49,999",Barack Obama,73,40000
In the Republican primary,NA,John Kasich,Ohio,Hillary Clinton,1944,"$50,000 - $59,999",Barack Obama,72,50000
"No, not in either",NA,NA,Utah,Donald Trump,1973,"$50,000 - $59,999",Other candidate,43,50000
